python-altgraph 0.17.4-1
python-annotated-types 0.7.0-2
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-bcrypt 4.3.0-1
python-blessed 1.21.0-2
python-boto3 1.40.30-1
python-botocore 1.40.30-1
python-brotli 1.1.0-3
python-build 1.3.0-1
python-cairo 1.28.0-1
python-certifi 2025.08.03-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.3-1
python-colorama 0.4.6-5
python-cryptography 46.0.1-1
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-defusedxml 0.7.1-7
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-editables 0.5-5
python-fake-http-header-git r36.0f11047-1
python-filelock 3.19.1-1
python-frozenlist 1.7.0-1
python-gnupg 0.5.5-1
python-gobject 3.54.2-2
python-gpustat 1:1.1.1-1
python-h11 0.16.0-1
python-hatchling 1.27.0-1
python-idna 3.10-2
python-importlib-metadata 8.7.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
